actual,persistence,arima
872.14,874.69,875.3240314073419
881.59,874.69,875.3702441189351
871.72,874.69,875.3736124295394
881.04,874.69,875.3738579359366
883.47,874.69,875.3738758301863
868.77,874.69,875.3738771344463
888.19,874.69,875.37387722951
873.05,874.69,875.3738772364388
884.33,874.69,875.3738772369438
862.83,874.69,875.3738772369807
882.41,874.69,875.3738772369834
867.16,874.69,875.3738772369836
915.56,867.16,875.3240314073419
913.64,867.16,875.3702441189351
824.82,867.16,875.3736124295394
803.31,867.16,875.3738579359366
794.35,867.16,875.3738758301863
777.93,867.16,875.3738771344463
766.01,867.16,875.37387722951
774.26,867.16,875.3738772364388
791.52,867.16,875.3738772369438
818.24,867.16,875.3738772369807
865.97,867.16,875.3738772369834
855.98,867.16,875.3738772369836
943.43,855.98,875.3240314073419
984.96,855.98,875.3702441189351
966.56,855.98,875.3736124295394
911.57,855.98,875.3738579359366
904.74,855.98,875.3738758301863
858.08,855.98,875.3738771344463
851.44,855.98,875.37387722951
896.17,855.98,875.3738772364388
878.11,855.98,875.3738772369438
844.32,855.98,875.3738772369807
895.42,855.98,875.3738772369834
899.29,855.98,875.3738772369836
870.52,899.29,875.3240314073419
859.57,899.29,875.3702441189351
983.74,899.29,875.3736124295394
961.32,899.29,875.3738579359366
894.07,899.29,875.3738758301863
876.01,899.29,875.3738771344463
874.42,899.29,875.37387722951
859.03,899.29,875.3738772364388
859.58,899.29,875.3738772369438
850.26,899.29,875.3738772369807
843.25,899.29,875.3738772369834
834.33,899.29,875.3738772369836
833.38,834.33,875.3240314073419
872.6,834.33,875.3702441189351
913.48,834.33,875.3736124295394
888.59,834.33,875.3738579359366
887.17,834.33,875.3738758301863
869.83,834.33,875.3738771344463
861.84,834.33,875.37387722951
853.52,834.33,875.3738772364388
856.52,834.33,875.3738772369438
870.68,834.33,875.3738772369807
878.96,834.33,875.3738772369834
877.3,834.33,875.3738772369836
892.4,877.3,875.3240314073419
884.41,877.3,875.3702441189351
880.53,877.3,875.3736124295394
881.37,877.3,875.3738579359366
909.56,877.3,875.3738758301863
920.26,877.3,875.3738771344463
925.99,877.3,875.37387722951
911.89,877.3,875.3738772364388
911.38,877.3,875.3738772369438
887.98,877.3,875.3738772369807
882.22,877.3,875.3738772369834
880.73,877.3,875.3738772369836
879.49,880.73,875.3240314073419
880.69,880.73,875.3702441189351
890.95,880.73,875.3736124295394
876.21,880.73,875.3738579359366
866.76,880.73,875.3738758301863
874.21,880.73,875.3738771344463
887.74,880.73,875.37387722951
901.92,880.73,875.3738772364388
908.09,880.73,875.3738772369438
884.15,880.73,875.3738772369807
886.7,880.73,875.3738772369834
886.95,880.73,875.3738772369836
891.01,886.95,875.3240314073419
906.72,886.95,875.3702441189351
892.53,886.95,875.3736124295394
889.79,886.95,875.3738579359366
927.43,886.95,875.3738758301863
897.0,886.95,875.3738771344463
917.85,886.95,875.37387722951
928.68,886.95,875.3738772364388
909.89,886.95,875.3738772369438
906.81,886.95,875.3738772369807
901.09,886.95,875.3738772369834
885.67,886.95,875.3738772369836
906.41,885.67,875.3240314073419
921.51,885.67,875.3702441189351
924.53,885.67,875.3736124295394
936.28,885.67,875.3738579359366
928.61,885.67,875.3738758301863
930.54,885.67,875.3738771344463
925.43,885.67,875.37387722951
890.72,885.67,875.3738772364388
864.31,885.67,875.3738772369438
911.44,885.67,875.3738772369807
938.82,885.67,875.3738772369834
928.05,885.67,875.3738772369836
873.65,928.05,875.3240314073419
870.05,928.05,875.3702441189351
870.43,928.05,875.3736124295394
878.46,928.05,875.3738579359366
880.71,928.05,875.3738758301863
882.14,928.05,875.3738771344463
894.2,928.05,875.37387722951
894.88,928.05,875.3738772364388
908.2,928.05,875.3738772369438
938.47,928.05,875.3738772369807
916.62,928.05,875.3738772369834
875.05,928.05,875.3738772369836
861.57,875.05,875.3240314073419
872.32,875.05,875.3702441189351
891.7,875.05,875.3736124295394
904.52,875.05,875.3738579359366
884.93,875.05,875.3738758301863
877.84,875.05,875.3738771344463
867.09,875.05,875.37387722951
869.02,875.05,875.3738772364388
870.6,875.05,875.3738772369438
867.12,875.05,875.3738772369807
874.91,875.05,875.3738772369834
885.6,875.05,875.3738772369836
882.04,885.6,875.3240314073419
877.91,885.6,875.3702441189351
867.18,885.6,875.3736124295394
864.09,885.6,875.3738579359366
865.7,885.6,875.3738758301863
868.41,885.6,875.3738771344463
865.8,885.6,875.37387722951
866.36,885.6,875.3738772364388
873.43,885.6,875.3738772369438
878.85,885.6,875.3738772369807
879.52,885.6,875.3738772369834
889.59,885.6,875.3738772369836
881.33,889.59,875.3240314073419
874.04,889.59,875.3702441189351
872.83,889.59,875.3736124295394
885.66,889.59,875.3738579359366
887.93,889.59,875.3738758301863
887.61,889.59,875.3738771344463
893.28,889.59,875.37387722951
898.93,889.59,875.3738772364388
904.66,889.59,875.3738772369438
903.42,889.59,875.3738772369807
908.63,889.59,875.3738772369834
911.95,889.59,875.3738772369836
909.97,911.95,875.3240314073419
924.38,911.95,875.3702441189351
941.69,911.95,875.3736124295394
940.16,911.95,875.3738579359366
947.9,911.95,875.3738758301863
964.8,911.95,875.3738771344463
959.17,911.95,875.37387722951
948.86,911.95,875.3738772364388
953.36,911.95,875.3738772369438
932.98,911.95,875.3738772369807
908.12,911.95,875.3738772369834
893.08,911.95,875.3738772369836
889.87,893.08,875.3240314073419
885.03,893.08,875.3702441189351
891.18,893.08,875.3736124295394
882.28,893.08,875.3738579359366
890.22,893.08,875.3738758301863
885.36,893.08,875.3738771344463
892.79,893.08,875.37387722951
885.41,893.08,875.3738772364388
899.13,893.08,875.3738772369438
903.26,893.08,875.3738772369807
904.41,893.08,875.3738772369834
896.92,893.08,875.3738772369836
915.54,896.92,875.3240314073419
943.32,896.92,875.3702441189351
895.44,896.92,875.3736124295394
881.08,896.92,875.3738579359366
875.55,896.92,875.3738758301863
892.25,896.92,875.3738771344463
880.64,896.92,875.37387722951
878.74,896.92,875.3738772364388
891.98,896.92,875.3738772369438
883.16,896.92,875.3738772369807
866.07,896.92,875.3738772369834
848.19,896.92,875.3738772369836
841.57,848.19,875.3240314073419
843.61,848.19,875.3702441189351
842.56,848.19,875.3736124295394
842.15,848.19,875.3738579359366
844.33,848.19,875.3738758301863
865.6,848.19,875.3738771344463
867.64,848.19,875.37387722951
892.3,848.19,875.3738772364388
868.17,848.19,875.3738772369438
863.56,848.19,875.3738772369807
852.69,848.19,875.3738772369834
846.49,848.19,875.3738772369836
840.57,846.49,875.3240314073419
847.22,846.49,875.3702441189351
846.86,846.49,875.3736124295394
862.57,846.49,875.3738579359366
880.59,846.49,875.3738758301863
879.61,846.49,875.3738771344463
866.27,846.49,875.37387722951
862.73,846.49,875.3738772364388
872.93,846.49,875.3738772369438
883.42,846.49,875.3738772369807
879.44,846.49,875.3738772369834
885.58,846.49,875.3738772369836
871.9,885.58,875.3240314073419
865.86,885.58,875.3702441189351
861.05,885.58,875.3736124295394
868.11,885.58,875.3738579359366
872.16,885.58,875.3738758301863
870.37,885.58,875.3738771344463
872.9,885.58,875.37387722951
872.81,885.58,875.3738772364388
881.01,885.58,875.3738772369438
878.26,885.58,875.3738772369807
883.89,885.58,875.3738772369834
884.85,885.58,875.3738772369836
877.0,884.85,875.3240314073419
883.26,884.85,875.3702441189351
869.65,884.85,875.3736124295394
863.73,884.85,875.3738579359366
862.88,884.85,875.3738758301863
883.06,884.85,875.3738771344463
874.55,884.85,875.37387722951
868.3,884.85,875.3738772364388
865.17,884.85,875.3738772369438
871.55,884.85,875.3738772369807
878.13,884.85,875.3738772369834
880.14,884.85,875.3738772369836
882.8,880.14,875.3240314073419
883.55,880.14,875.3702441189351
875.47,880.14,875.3736124295394
871.53,880.14,875.3738579359366
878.9,880.14,875.3738758301863
889.4,880.14,875.3738771344463
863.79,880.14,875.37387722951
878.72,880.14,875.3738772364388
875.98,880.14,875.3738772369438
882.07,880.14,875.3738772369807
874.38,880.14,875.3738772369834
866.64,880.14,875.3738772369836
875.4,866.64,875.3240314073419
883.82,866.64,875.3702441189351
881.74,866.64,875.3736124295394
879.21,866.64,875.3738579359366
868.8,866.64,875.3738758301863
864.07,866.64,875.3738771344463
874.87,866.64,875.37387722951
881.01,866.64,875.3738772364388
883.2,866.64,875.3738772369438
882.03,866.64,875.3738772369807
864.22,866.64,875.3738772369834
867.1,866.64,875.3738772369836
869.65,867.1,875.3240314073419
873.3,867.1,875.3702441189351
870.39,867.1,875.3736124295394
892.7,867.1,875.3738579359366
888.83,867.1,875.3738758301863
889.63,867.1,875.3738771344463
886.98,867.1,875.37387722951
888.17,867.1,875.3738772364388
887.57,867.1,875.3738772369438
891.21,867.1,875.3738772369807
884.82,867.1,875.3738772369834
891.22,867.1,875.3738772369836
892.52,891.22,875.3240314073419
895.16,891.22,875.3702441189351
870.93,891.22,875.3736124295394
878.73,891.22,875.3738579359366
882.65,891.22,875.3738758301863
863.93,891.22,875.3738771344463
862.14,891.22,875.37387722951
868.54,891.22,875.3738772364388
882.08,891.22,875.3738772369438
890.36,891.22,875.3738772369807
889.23,891.22,875.3738772369834
891.83,891.22,875.3738772369836
912.65,891.83,875.3240314073419
890.36,891.83,875.3702441189351
885.27,891.83,875.3736124295394
884.36,891.83,875.3738579359366
881.52,891.83,875.3738758301863
892.41,891.83,875.3738771344463
905.43,891.83,875.37387722951
894.44,891.83,875.3738772364388
910.36,891.83,875.3738772369438
885.89,891.83,875.3738772369807
892.44,891.83,875.3738772369834
901.89,891.83,875.3738772369836
887.73,901.89,875.3240314073419
903.12,901.89,875.3702441189351
897.31,901.89,875.3736124295394
902.01,901.89,875.3738579359366
897.24,901.89,875.3738758301863
898.14,901.89,875.3738771344463
896.23,901.89,875.37387722951
896.52,901.89,875.3738772364388
898.01,901.89,875.3738772369438
906.31,901.89,875.3738772369807
897.45,901.89,875.3738772369834
895.69,901.89,875.3738772369836
898.84,895.69,875.3240314073419
906.26,895.69,875.3702441189351
912.83,895.69,875.3736124295394
918.16,895.69,875.3738579359366
884.92,895.69,875.3738758301863
887.89,895.69,875.3738771344463
888.53,895.69,875.37387722951
889.87,895.69,875.3738772364388
893.35,895.69,875.3738772369438
887.74,895.69,875.3738772369807
899.97,895.69,875.3738772369834
900.9,895.69,875.3738772369836
905.17,900.9,875.3240314073419
883.58,900.9,875.3702441189351
871.84,900.9,875.3736124295394
